"Date","Time_ET","Kind","Content","MediaURL"
"2026-08-06","08:30","photo","Trade WITH the trend, don't argue with it 📈📉

• Uptrend = each high higher, each low higher
• Downtrend = highs and lows both getting lower

Go with the trend and the odds are on your side. Fight it and you're just donating money.

🔁 Share this with a friend who loves ""catching the bottom"" against the trend!

#XAUUSD #gold #trend #trendtrading #forex","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/rex_10_trend.png"
"2026-08-06","10:30","photo","Do your thinking BEFORE the money's on the line.

At night, calm: what setup, what stop, what target, how much risk? Then morning-you just follows the plan.

📌 SAVE this routine.

#XAUUSD #gold #tradingplan #discipline","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/cards/card12_plan.png"
"2026-08-06","12:30","video","The one number that decides if you SURVIVE or blow up 💥

Risk $20 to make $60 (a 1:3 ratio).
That means you can be WRONG 6 out of 10 times and still profit.

Pros don't chase ""being right often"" — they chase ""winning bigger than they lose.""

📌 Save this and re-read it every time you want to take a risky trade!

#XAUUSD #gold #riskreward #moneymanagement #forex","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/rex_06_rr.mp4"
"2026-08-06","15:00","text","A candle pattern in the middle of nowhere means nothing. The SAME pattern at a key support or resistance means everything.

Context first, pattern second. That's the difference between gambling and trading.

📌 Save this.
#XAUUSD #gold #priceaction",""
"2026-08-06","17:30","text","What timeframe do you read candles on? ⏱️
1m scalp? 15m? 4H swing?
Comment your style 👇",""
"2026-08-06","20:00","video","🎬 Candlestick lesson — save this and watch till the end.
📌 SAVE + Follow @REXTradingSignal for the full series.
#XAUUSD #gold #forex #priceaction","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/long/LV6.mp4"
"2026-08-06","22:00","text","Every signal we post has a stop loss. Want the 3 rules we never break? Free 📩 https://rextradingsignal.com/business-plan/",""
"2026-08-07","06:30","text","You don't need to catch every candle. You need to read ONE clearly and act with a stop loss. Quality over noise. 💬",""
"2026-08-07","08:30","photo","3 rules the REX channel will NEVER break 🔒

1️⃣ Every signal has a stop loss
2️⃣ I post my LOSING trades too
3️⃣ I never promise profit

Want real proof instead of empty promises?

👉 Join the Telegram channel to see live signals:
https://t.me/+CR21qcOU0QI4ZDg9

#XAUUSD #gold #goldsignals #transparency #forex","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/rex_12_rules.png"
"2026-08-07","10:30","photo","The market can't blow your account past a ceiling you set in advance. But you can — if you never set one.

Decide your max monthly loss while calm, then cascade it down.

📌 SAVE this.

#XAUUSD #gold #riskmanagement","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/cards/card17_ceiling.png"
"2026-08-07","12:30","video","3 rules the REX channel will NEVER break 🔒

1️⃣ Every signal has a stop loss
2️⃣ I post my LOSING trades too
3️⃣ I never promise profit

Want real proof instead of empty promises?

👉 Join the Telegram channel to see live signals:
https://t.me/+CR21qcOU0QI4ZDg9

#XAUUSD #gold #goldsignals #transparency #forex","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/rex_12_rules.mp4"
"2026-08-07","15:00","text","The move comes from the candle AFTER the signal — not the signal itself.

See a reversal candle? Don't jump. Wait for the next candle to confirm the direction, set your stop, then act. One extra minute of patience saves a lot of losing trades.
#XAUUSD #gold #discipline",""
"2026-08-07","17:30","text","If you could master ONE candle pattern this week, which would it be? 💬 Drop it below 👇",""
"2026-08-07","20:00","video","🎬 Candlestick lesson — save this and watch till the end.
📌 SAVE + Follow @REXTradingSignal for the full series.
#XAUUSD #gold #forex #priceaction","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/long/LV7.mp4"
"2026-08-07","22:00","text","One page. Your whole trading business. Free, no catch 👉 https://rextradingsignal.com/business-plan/ 📩",""
